Player,Presenze,Riusciti,%,score
Mile Jedinak,3,1,1.0,0.42857142857142866
Mathew Leckie,3,5,0.625,0.5020391158100931
Aziz Eraltay Behich,3,2,0.3333333333333333,-2.631578947368421
Trent Sainsbury,3,1,1.0,0.3535353535353535
Josh Risdon,3,5,0.8333333333333334,2.824377980420431
John Michael Nchekwube Obinna,3,5,1.0,3.3127478745274495
Ferjani Sassi,3,1,1.0,0.5362318840579711
Bartosz Bereszyński,3,3,1.0,2.035142635142635
Yasir Gharsan Al Shahrani,3,2,1.0,1.1147540983606556
Cristian Gamboa Luna,3,1,0.5,-0.03937007874015752
Miguel Ángel Trauco Saavedra,3,2,0.6666666666666666,0.19999999999999996
Víctor Yoshimar Yotún Flores,3,0,0.0,-1.0
André Martín Carrillo Díaz,3,14,0.7777777777777778,6.803444290392629
Édison Michael Flores Peralta,3,1,0.3333333333333333,-1.306451612903226
Salman Mohammed Al Faraj,3,6,0.5454545454545454,-0.8452187071917374
Christian Alberto Cueva Bravo,3,3,0.75,1.0665342601787486
José Paolo Guerrero Gonzáles,3,0,0.0,-3.0
Hattan Babhir,3,2,0.3333333333333333,-2.8760022586109546
Abdullah Ibrahim Otayf,3,3,0.75,0.5995203836930456
Mahmoud Ibrahim Hassan,3,5,0.45454545454545453,-3.0509026188660053
Woo-Young Jung,3,1,0.3333333333333333,-1.5194805194805194
Moussa Wagué,3,4,1.0,2.8500574052812855
Youssouf Sabaly,3,6,0.8571428571428571,2.7195529171129627
Idrissa Gana Gueye,3,1,1.0,0.9384615384615382
Ismaïla Sarr,3,3,0.3333333333333333,-3.467815015098763
Sadio Mané,3,5,0.5,-1.3493110079083765
M''Baye Babacar Niang,3,3,0.6,0.05537757437070934
Celso Borges Mora,3,3,1.0,1.334211682037769
Mohammed Al Burayk,3,1,1.0,0.6330935251798562
David Alberto Guzmán Pérez,3,1,1.0,0.768421052631579
Christian Guillermo Martín Ramos Garagay,3,2,1.0,1.3523917707938913
Luis Jan Piers Advíncula Castrillón,3,7,0.875,4.17064147607398
Carlos Arturo Bacca Ahumada,3,1,1.0,0.48051948051948057
Gabriel Enrique Gómez Girón,3,1,1.0,0.6417910447761193
Aníbal Cesis Godoy,3,2,0.5,-1.0303030303030303
Edgar Yoel Bárcenas Herrera,3,3,0.375,-3.4287241625089093
Ahmed Fathy Abdel Meneim Ibrahim,3,0,0.0,-1.0
José Luis Rodríguez Francis,3,0,0.0,-1.0
Carlos Andrés Sánchez Arcosa,3,0,0.0,-1.0
Fahad Mosaed Al Muwallad Al Harbi,3,2,0.4,-2.0029863855950816
Johnny Acosta Zamora,3,1,1.0,0.4565217391304348
Giancarlo González Castro,3,1,1.0,0.7192982456140351
Jan Bednarek,3,1,1.0,0.3333333333333333
Grzegorz Krychowiak,3,1,1.0,0.48051948051948057
Piotr Zieliński,3,7,0.7,0.9249053749176084
Robert Lewandowski,3,5,0.5,-1.4756414122600061
Yerry Fernando Mina González,3,1,1.0,0.42857142857142866
Salem Mohammed Al Dawsari,3,13,0.6842105263157895,1.3277622215466627
Wílmar Enrique Barrios Terán,3,1,0.3333333333333333,-1.5434782608695652
James David Rodríguez Rubio,3,8,0.6666666666666666,0.49797301521801673
Andrés Mateus Uribe Villa,3,3,0.75,0.9829059829059826
Kamil Grosicki,3,2,0.6666666666666666,1.0924128669962765
Marwan Mohsen,3,1,0.5,-0.5194805194805194
Cheikhou Kouyaté,3,2,1.0,1.2492551413414723
